METEOROLOGICAL	DATA	-	CHACALTAYA	GAW	STATION	16	21	S,	68	8	W,	5380	masl,	Bolivia						
Please	cite	the	SENAMHI	(Servicio	Nacional	de	Meteorologia	e	Hidrologia,	Bolivia)	and	the	LFA	(Laboratorio	de	Fisica	de	la	Atm??sfera)	UMSA
Contact	:	Marcos	Andrade	-	mandrade	AT	atmos.umd.edu,	Isabel	Moreno	-	caisa.moreno	AT	chacaltaya.edu.bo							
File	version	5																		
																				
Local	Time	(UTC-4)																		
WS	=	Horizontal	wind	speed	(m/s)															
WD	=	Horizontal	wind	direction	(Deg)															
WDstdv	=	Standard	deviation	of	horizontal	wind	direction	(Deg)												
Tair	=	Avg	Air	temperature	(Deg	C)														
RH	=	Avg	Relative	humidity(%)																
Pbar	=	Smp	Barometric	pressure	(mbar)															
																				
Missing/bad	data	filled	with	-999.9																
																				
	YYYY	MM	DD	HH	mm	WS	WD	WDstdv	Tair	RH	Pbar									
	2018	1	1	0	0	0.54	81.1	58.7	0.60	38.97	535.0									
	2018	1	1	0	15	2.30	195.5	9.9	0.10	50.23	535.0									
	2018	1	1	0	30	3.17	208.9	15.5	-1.19	90.50	535.0									
	2018	1	1	0	45	3.87	213.8	8.7	-1.33	91.40	535.0									
	2018	1	1	1	0	2.94	226.6	14.7	-0.99	85.20	534.2									
	2018	1	1	1	15	3.39	231.5	10.9	-1.41	95.50	534.2									
	2018	1	1	1	30	3.50	226.3	6.1	-1.72	97.50	534.2									
	2018	1	1	1	45	4.37	227.5	5.8	-1.58	97.20	534.2									
	2018	1	1	2	0	3.27	226.1	8.7	-1.64	98.20	533.8									
	2018	1	1	2	15	4.17	218.1	4.6	-1.74	98.40	533.8									
	2018	1	1	2	30	3.52	212.3	11.7	-1.88	98.40	533.8									
	2018	1	1	2	45	2.13	220.6	17.0	-1.81	82.60	533.8									
	2018	1	1	3	0	2.16	227.9	5.9	-1.44	78.77	533.5									
	2018	1	1	3	15	2.28	220.8	11.9	-1.44	83.40	533.5									
	2018	1	1	3	30	2.31	193.1	13.4	-0.92	61.23	533.5									
	2018	1	1	3	45	2.28	167.2	17.6	-0.96	64.13	533.5									
	2018	1	1	4	0	3.13	149.2	2.8	-1.26	70.30	533.3									
	2018	1	1	4	15	2.87	138.6	3.8	-1.24	63.84	533.3									
	2018	1	1	4	30	1.43	121.7	11.5	-0.90	50.06	533.3									
	2018	1	1	4	45	1.21	167.6	21.2	-0.48	49.39	533.3									
	2018	1	1	5	0	2.27	214.1	13.8	-0.38	50.63	533.2									
	2018	1	1	5	15	2.15	207.6	7.4	-0.56	51.53	533.2									
	2018	1	1	7	0	0.93	80.6	2.6	-0.26	46.05	533.8									
	2018	1	1	7	15	1.12	88.0	26.4	-0.05	45.14	533.8									
	2018	1	1	7	30	0.66	126.9	11.6	0.44	44.07	533.8									
	2018	1	1	7	45	0.98	103.6	13.9	0.59	47.85	533.8									
	2018	1	1	8	0	0.36	79.4	43.9	1.21	47.37	534.5									
	2018	1	1	8	15	1.14	125.4	37.0	1.95	43.42	534.5									
	2018	1	1	8	30	2.42	116.8	21.2	1.06	52.76	534.5									
	2018	1	1	8	45	1.78	89.2	53.3	0.43	62.99	534.5									
	2018	1	1	9	0	0.87	59.5	65.9	-0.01	72.42	534.8									
	2018	1	1	9	15	0.94	172.1	86.3	0.17	71.71	534.8									
	2018	1	1	9	30	1.04	74.7	86.0	0.79	71.81	534.8									
